board_ascii,legal_moves_uci,side_to_move
"r--q-rk-
pb-nbpp-
----pP-p
--p-----
---P-B--
--pQ-N--
PPB--PPP
R---K--R",g8h8 f8e8 d8e8 d8c8 d8b8 d8c7 d8b6 d8a5 a8c8 a8b8 e7f6 e7d6 d7b8 d7f6 d7b6 d7e5 b7c8 b7c6 b7a6 b7d5 b7e4 b7f3 g7f6 c5d4 c3b2 g7g6 a7a6 h6h5 e6e5 c5c4 g7g5 a7a5,black
"--------
-----p-p
-------k
----pqR-
-------P
-----PK-
------P-
--------",f5c8 f5d7 f5g6 f5f6 f5e6 f5g5 f5g4 f5f4 f5e4 f5h3 f5f3 f5d3 f5c2 f5b1 f7f6 e5e4,black
"r----rk-
pppn-ppp
----q---
-Pb-p---
--------
P-NP-N--
--P-QPPP
R----RK-",g8h8 f8e8 f8d8 f8c8 f8b8 a8e8 a8d8 a8c8 a8b8 d7b8 d7f6 d7b6 e6e8 e6e7 e6h6 e6g6 e6f6 e6d6 e6c6 e6b6 e6a6 e6f5 e6d5 e6g4 e6c4 e6h3 e6b3 e6a2 c5e7 c5d6 c5b6 c5d4 c5b4 c5e3 c5a3 c5f2 h7h6 g7g6 f7f6 c7c6 b7b6 a7a6 e5e4 h7h5 g7g5 f7f5 a7a5,black
"r-bqkb-r
p--n-pp-
--p-pn-p
-p--N---
--pPP---
--N---P-
PP---PBP
R-BQ-RK-",h8g8 h8h7 f8e7 f8d6 f8c5 f8b4 f8a3 e8e7 d8e7 d8c7 d8b6 d8a5 c8b7 c8a6 a8b8 d7b8 d7b6 d7e5 d7c5 f6g8 f6h7 f6h5 f6d5 f6g4 f6e4 g7g6 a7a6 h6h5 c6c5 b5b4 g7g5 a7a5,black
"--------
----k-p-
-R--b--p
----p--P
-----p--
---K-P--
------P-
--------",e7f8 e7e8 e7d8 e7f7 e7d7 e7f6 e6g8 e6c8 e6f7 e6d7 e6f5 e6d5 e6g4 e6c4 e6h3 e6b3 e6a2 g7g6 e5e4 g7g5,black
"------k-
-----p--
-p----p-
p-pb--r-
-------p
--------
-------K
--R-----",h2h3 c1c5 c1c4 c1c3 c1c2 c1h1 c1g1 c1f1 c1e1 c1d1 c1b1 c1a1,white
"r-----k-
-r---p-p
---p--p-
---R----
P-p-----
------P-
-P---PKP
R-------",g8h8 g8f8 g8g7 a8f8 a8e8 a8d8 a8c8 a8b8 a8a7 a8a6 a8a5 a8a4 b7b8 b7e7 b7d7 b7c7 b7a7 b7b6 b7b5 b7b4 b7b3 b7b2 h7h6 f7f6 g6g5 c4c3 h7h5 f7f5,black
"r-b--rk-
pp-np--p
--p-p-pb
q-----N-
------n-
-PN-----
PBPQ-PPP
--KR-B-R",g5h7 g5f7 g5e6 g5e4 g5h3 g5f3 c3d5 c3b5 c3e4 c3a4 c3e2 c3b1 d2d7 d2d6 d2d5 d2f4 d2d4 d2e3 d2d3 d2e2 d2e1 b2a3 b2a1 h1g1 f1a6 f1b5 f1c4 f1d3 f1e2 d1e1 c1b1 b3b4 h2h3 g2g3 f2f3 a2a3 h2h4 f2f4 a2a4,white
"rnbq-r--
---nbppk
p--pp--p
--p-----
-P--P-PP
--NPBN--
BPPQ-P--
R---K--R",f8h8 f8g8 f8e8 d8e8 d8c7 d8b6 d8a5 c8b7 b8c6 a8a7 h7h8 h7g8 h7g6 e7f6 e7g5 e7h4 d7f6 d7b6 d7e5 c5b4 g7g6 f7f6 h6h5 e6e5 d6d5 a6a5 c5c4 g7g5 f7f5,black
"r-b-k--r
ppppqp-p
--n--p--
b--Q----
--B-P---
--P--N--
P----PPP
RN---RK-",h8g8 h8f8 e8f8 e8d8 a8b8 e7f8 e7d8 e7e6 e7d6 e7e5 e7c5 e7e4 e7b4 e7a3 c6d8 c6b8 c6e5 c6d4 c6b4 a5b6 a5b4 a5c3 e8g8 h7h6 d7d6 b7b6 a7a6 f6f5 h7h5 b7b5,black
